Question,Predicted Answer,Predicted Option
"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",B,Kết nối Internet và quản lý thiết bị từ xa
"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",B,RFID và nhận dạng khuôn mặt/vân tay
Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,B,"Bộ cảm biến lưu trữ dữ liệu, bộ truyền động hiển thị dữ liệu"
Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,A,Giới thiệu các ứng dụng cụ thể của điện toán đám mây
"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",D,90-100
"Theo tài liệu Public_002, học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?",D,NIST Cybersecurity Framework
"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",D,CSDL quan hệ truyền thống
Nêu chi tiết nội dung đào tạo về bảo mật web và bảo mật cơ sở dữ liệu trong tài liệu Public_002.,A,OWASP Top 10 / CSDL NoSQL
Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,B,"Công nghệ thông tin (CSDL, mạng, bảo mật, dữ liệu lớn, IoT, học máy)"
"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",C,7
Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong tài liệu Public_003 là gì?,B,Một loại dữ liệu song ngữ
Công cụ nào được nhóm tác giả của tài liệu Public_003 sử dụng để huấn luyện các hệ dịch nơ ron?,D,Fairseq
Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,C,Một phương pháp đánh giá tự động chất lượng dịch máy / TensorFlow
Nội dung chính của tài liệu Public_003 là gì?,B,"Đề xuất phương pháp thích ứng miền mới cho dịch máy nơ ron Anh – Việt, tận dụng dữ liệu đơn ngữ ngoài miền để cải thiện chất lượng dịch"
"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",B,1.37
Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,A,Gia công cắt gọt vật liệu
Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,A,Contour Crafting
"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",D,FDM
Nội dung chính của bài báo Public_004 là gì?,B,"Giới thiệu, phân tích ưu nhược điểm các công nghệ in bê tông 3D trong xây dựng, so sánh tính khả thi áp dụng ở Việt Nam"
"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",D,Quy mô in lớn hơn
OCR là viết tắt của gì trong bài báo này?,A,Optical Character Recognition
"Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì, theo tài liệu Public_005?",D,Tesseract
"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",C,Faster R-CNN
Nội dung chính của bài báo là gì?,C,Xây dựng hệ thống ERP cho giáo dục
"Theo tài liệu Public_005, tỷ lệ sai số theo đơn vị từ của FPT.AI Reader trong thử nghiệm là bao nhiêu?",C,0.27
"Theo tài liệu Public_006, các nhiệm vụ và quyền hạn của các thiết chế quản trị đại học ở Việt Nam được quy định trong luật nào?",B,Luật Giáo dục đại học sửa đổi số 34/2018
"Theo tài liệu Public_006, cơ quan nào có thẩm quyền cao nhất trong trường đại học?",A,Hội đồng trường
"Làm thế nào để ứng dụng công nghệ số trong quản trị đại học có thể bao quát toàn bộ hoạt động của nhà trường kịp thời và hỗ trợ ra quyết sách quản lý, điều hành hiệu quả?",B,Quản trị đại học số
Nội dung chính của bài báo Public_006 là gì?,B,"Phân tích thực trạng và đề xuất giải pháp ứng dụng công nghệ số trong công tác quản trị đại học ở Việt Nam, hướng tới đại học số"
"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?",C,"1,0 triệu giáo viên, 20 triệu học sinh"
ISO 15189:2022 áp dụng cho đối tượng nào?,D,Nhà sản xuất thiết bị y tế
"Theo tiêu chuẩn trong tài liệu Public_007, “khiếu nại” được định nghĩa như thế nào?",C,"Sự không hài lòng của cá nhân/tổ chức liên quan đến hoạt động hoặc kết quả xét nghiệm, nơi dự kiến có phản hồi"
"Trong các tiêu chuẩn ISO/IEC liên quan đến đo lường và đánh giá sự phù hợp, tiêu chuẩn nào cung cấp từ vựng quốc tế về đo lường và định nghĩa thuật ngữ độ chệch?",A,ISO/IEC 17025
Nội dung chính của tiêu chuẩn ISO 15189:2022 là gì?,B,"Đưa ra yêu cầu về chất lượng và năng lực đối với phòng xét nghiệm y tế, bao gồm hệ thống quản lý, quy trình xét nghiệm và đánh giá công nhận"
"Theo Public_007, “khoảng tham chiếu sinh học” thường được định nghĩa ở mức bao nhiêu phần trăm giá trị tập trung?",A,0.95
Giám đốc phòng xét nghiệm theo ISO 15189:2022 có thể ủy quyền nhiệm vụ cho ai?,B,"Nhân viên có trình độ và năng lực, được lập thành văn bản ủy quyền"
ISO 15189:2022 yêu cầu thiết lập và theo dõi những chỉ số chất lượng nào?,C,"Số lượng mẫu bị từ chối, số lỗi khi nhận mẫu, số báo cáo kết quả sửa, tỷ lệ trả kết quả đúng hạn"
"Theo tài liệu Public_008, các yêu cầu đúng khi lựa chọn, vận hành và bảo dưỡng thiết bị phòng xét nghiệm là gì?",A,"Thiết bị phải được vận hành bởi nhân viên đào tạo, được ủy quyền, có năng lực; được bảo trì theo hướng dẫn nhà sản xuất; có biện pháp ngăn điều chỉnh ngoài ý muốn; và thiết bị bị lỗi phải được dán nhãn “không hoạt động” cho đến khi xác minh chính xác"
Nội dung chính của phần tiêu chuẩn trong tài liệu là gì?,B,"Đưa ra yêu cầu về cơ cấu, quản trị, nhân lực, cơ sở vật chất, thiết bị, thuốc thử và quá trình xét nghiệm trong phòng xét nghiệm y tế"
"Nếu phòng xét nghiệm có 500 mẫu xét nghiệm trong tháng, trong đó có 25 mẫu bị từ chối, tỷ lệ từ chối mẫu là bao nhiêu?",C,0.1
Học phần Những nguyên lý cơ bản của Chủ nghĩa Mác – Lênin thuộc khối kiến thức nào?,D,Hệ thống thông tin
Học phần Nhập môn ngành CNTT trang bị cho sinh viên những kỹ năng nào ngoài kiến thức chuyên ngành?,C,"Kỹ năng mềm như làm việc nhóm, thuyết trình, tìm kiếm thông tin, phương pháp học đại học"
"Học phần nào vừa giúp sinh viên năm nhất làm quen với môi trường đại học và kiến thức cơ bản ngành CNTT, vừa rèn luyện các kỹ năng mềm và chuẩn mực đạo đức cần thiết để trở thành kỹ sư công nghệ thông tin?",C,Nhập môn ngành CNTT
Nội dung chính của tài liệu là gì?,B,"Mô tả vắn tắt nội dung và khối lượng các học phần bắt buộc, cơ sở và chuyên ngành trong chương trình đào tạo CNTT"
"Theo quy định tại tài liệu Public_009, nếu một học phần có cấu trúc 3(2:1:6) thì số tiết lý thuyết, thực hành và tự học lần lượt là bao nhiêu?",D,"3 LT, 0 TH, 6 tự học"
"Theo tiêu chuẩn ISO 15189:2022, việc lưu giữ hồ sơ phòng xét nghiệm nhằm mục đích chính nào?",C,Truy xuất được kết quả xét nghiệm trong khoảng thời gian cần thiết hoặc theo quy định
"Khi xảy ra sự không phù hợp, hành động đầu tiên mà phòng xét nghiệm phải thực hiện theo ISO 15189:2022 là gì?",B,Đình chỉ hoạt động của phòng xét nghiệm vô thời hạn
"Theo hướng dẫn về kiểm soát hồ sơ, phòng xét nghiệm phải đảm bảo điều gì khi sửa đổi hồ sơ?",A,"Các sửa đổi phải có khả năng truy nguyên đến phiên bản trước hoặc các quan sát ban đầu, bao gồm ngày, giờ, nội dung thay đổi và nhân viên thực hiện"
Nội dung chính của phần 8 trong tiêu chuẩn ISO 15189:2022 là gì?,C,"Yêu cầu hệ thống quản lý, bao gồm tài liệu, hồ sơ, kiểm soát rủi ro, cải tiến, đánh giá và xem xét"
"Theo tài liệu Public_010, nếu một phòng xét nghiệm thiết lập cấu trúc quản lý 5 mục tiêu và mỗi mục tiêu yêu cầu số hành động cải tiến tối thiểu theo quy định của tài liệu, tổng số hành động tối thiểu là bao nhiêu?",D,20
Mạng GAN (Global Area Network) là gì?,C,"Mạng toàn cầu, kết hợp nhiều mạng con, ví dụ Internet"
Thành phần nào có chức năng giao tiếp giữa máy tính và đường truyền trong mạng máy tính?,B,Vỉ mạng (Network Interface Card – NIC)
Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,D,Mạng được phân loại theo loại đường truyền và phần mềm; Internet ban đầu ra đời để phục vụ giáo dục phổ thôngComplete
Nội dung chính của tài liệu Public_011 là gì?,B,"Trình bày khái niệm, lịch sử phát triển, phân loại, thành phần, kiến trúc mạng máy tính và Internet"
"Với một mạng kết nối 200 máy tính và có bán kính hoạt động 500m trong một tòa nhà, phân loại mạng chính xác nhất của nó là gì?",A,LAN (Local Area Network)
Hệ điều hành có nhiệm vụ gì?,B,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình và cung cấp dịch vụ cho người dùng"
"Theo tài liệu, ký hiệu đại diện * trong tên tệp có ý nghĩa gì?",B,Đại diện cho số bất kỳ
Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,A,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình, giao tiếp với người dùng; Windows 95"
Nội dung chính của tài liệu là gì?,B,"Trình bày khái niệm, quản lý tệp, hệ lệnh, hệ điều hành Windows (từ MS-DOS, Windows 95 đến Windows XP)"
"Nếu Windows XP quản lý cho phép đặt tên tập tin dài tối đa 255 ký tự, còn MS-DOS chỉ cho phép tối đa 8 ký tự, thì Windows XP dài hơn bao nhiêu ký tự?",B,200 ký tự
Thế hệ máy tính điện tử nào sử dụng bóng đèn điện tử chân không?,D,Thế hệ 4 (1974–nay)
Thuật ngữ “Tin học” (Informatics) lần đầu tiên được đề xuất bởi ai?,B,Karl Steinbuch
Thông tin khác dữ liệu ở điểm nào và quá trình xử lý thông tin theo máy tính gồm những bước nào?,A,"Thông tin có ý nghĩa, dữ liệu là sự kiện thô; xử lý gồm Input – Process – Output"
Nội dung chính của tài liệu là gì?,B,"Giới thiệu các khái niệm cơ bản về dữ liệu, thông tin, tri thức; lịch sử phát triển máy tính; khái niệm tin học, CNTT và ICT"
"Nếu một máy tính thế hệ 2 có tốc độ trung bình 50.000 phép tính/giây, thì nó nhanh gấp bao nhiêu lần so với máy thế hệ 1 tốc độ trung bình 1.000 phép tính/giây?",C,50 lần
Bit là viết tắt của từ gì?,C,Binary integration tool
"Trong hệ đếm thập lục phân, ký tự “F” biểu diễn giá trị thập phân nào?",D,16
"Trong máy tính, mọi dữ liệu được biểu diễn dưới dạng gì và đơn vị thông tin nhỏ nhất là gì?",B,Dưới dạng nhị phân (chuỗi bit); đơn vị nhỏ nhất là bit
Nội dung chính của tài liệu là gì?,B,"Trình bày biểu diễn dữ liệu trong máy tính: các hệ đếm, số nguyên, số thực, dữ liệu ký tự, số hóa tín hiệu và tính toán số học"
"Nếu dùng 8 bit để biểu diễn số nguyên không dấu, giá trị lớn nhất có thể biểu diễn là bao nhiêu?",D,256
Khối nào trong CPU có nhiệm vụ thực hiện các phép tính số học và logic?,B,Khối số học và logic (ALU)
Bộ nhớ nào lưu trữ chương trình hệ thống và không bị mất dữ liệu khi tắt máy?,B,RAM
CPU gồm những bộ phận chính nào và bộ nhớ chính của máy tính được chia thành những loại nào?,A,"Khối điều khiển, bộ nhớ ngoài, bàn phím; chỉ RAM"
Nội dung chính của tài liệu là gì?,D,Phân tích hệ điều hành Windows
"Nếu một CPU có 36 bit địa chỉ, dung lượng tối đa của bộ nhớ chính mà nó quản lý được là bao nhiêu?",C,64 GB
Tiêu chuẩn TCVN 9395:2012 áp dụng cho loại cọc nào?,B,Cọc khoan nhồi bê tông cốt thép có đường kính ≥ 60 cm (trừ công trình địa chất đặc biệt)
Dung dịch khoan bentonite có vai trò chính gì trong thi công cọc khoan nhồi?,A,"Giữ ổn định thành hố khoan, ngăn sụt lở và đưa mùn khoan ra ngoài"
"Theo TCVN 9395:2012, tiêu chuẩn này áp dụng cho loại cọc nào và từ đường kính bao nhiêu trở lên?",B,"Cọc khoan nhồi, từ 30 cm"
Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,C,"Quy định về thi công, kiểm tra chất lượng, nghiệm thu và an toàn lao động trong xây dựng cọc khoan nhồi"
"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?",B,"-8,5 m"
"Theo TCVN 5574:2018, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện dựa trên những trạng thái giới hạn nào?",D,Không yêu cầu xét trạng thái giới hạn
Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,D,Bê tông tự ứng suất
"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được thực hiện theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",D,Trạng thái giới hạn về biến dạng; đảm bảo không xuất hiện ứng suất trước
Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,B,"Nguyên tắc thiết kế, tính toán độ bền, ổn định, biến dạng, nứt và quy định về vật liệu cho kết cấu bê tông, bê tông cốt thép"
"Nếu một dầm bê tông cốt thép có nhịp 6 m, theo TCVN 5574:2018 độ võng tối đa cho phép là 1/150 nhịp, giá trị võng lớn nhất cho phép là bao nhiêu?",A,20 mm
Tiêu chuẩn TCVN 5574:2018 áp dụng cho những loại bê tông nào?,C,"Bê tông nhẹ, bê tông tổ ong"
Tiêu chuẩn TCVN 5574:2018 không áp dụng để thiết kế loại kết cấu nào sau đây?,C,"Kết cấu liên hợp thép – bê tông, bê tông cốt sợi, công trình thủy công, cầu…"
"Theo TCVN 9379:2012, tính toán kết cấu bê tông và bê tông cốt thép cần được tiến hành theo những trạng thái giới hạn nào và phải đảm bảo điều gì trong suốt thời hạn sử dụng công trình?",C,Trạng thái giới hạn thứ hai; đảm bảo công trình không có biến dạng
Nội dung chính của phần yêu cầu chung đối với kết cấu bê tông và bê tông cốt thép trong TCVN 5574:2018 là gì?,B,"Quy định các yêu cầu về an toàn, điều kiện sử dụng, độ bền lâu, yêu cầu cấu tạo và tính toán"
"Nếu một cấu kiện bê tông làm việc trong môi trường xâm thực, theo TCVN 5574:2018, cần đảm bảo thêm yêu cầu gì ngoài an toàn và sử dụng bình thường?",B,Giảm kích thước tiết diện để tiết kiệm vật liệu
Hệ thống chống sét theo TCVN 9385:2012 bao gồm mấy phần chính?,B,3
Bộ phận nào trong hệ thống chống sét có nhiệm vụ thu sét trực tiếp?,A,"Hệ thống thu sét (kim thu sét, dây dẫn trên mái…)"
Quốc gia nào là nước đầu tiên công bố Kế hoạch chiến lược trí tuệ nhân tạo quốc gia và vào năm nào?,D,"Nhật Bản, năm 2019"
Nội dung chính của TCVN 9385:2012 là gì?,B,"Quy định thiết kế, thi công, kiểm tra, bảo trì hệ thống chống sét cho công trình"
"Một công trình cao 30 m cần bảo vệ chống sét trực tiếp. Theo bán kính bảo vệ của kim thu sét (r = 1,5h), bán kính bảo vệ tối đa là bao nhiêu?",A,30 m
Chiều dày màng khô của lớp phủ chống cháy được xác định bằng cách nào?,A,Quan sát trực quan sau khi phủ
Loại đầu đo nhiệt nào được ưu tiên sử dụng trong thử nghiệm cấu kiện thép?,A,Loại “J” trần không bọc
"Theo quy định, chiều dày màng khô của vật liệu bảo vệ được đo bằng nguyên tắc nào và loại đầu đo nhiệt nào được ưu tiên sử dụng khi thử nghiệm trên cấu kiện thép?",B,Nguyên tắc quang học; đầu đo nhiệt loại N
Nội dung chính của tài liệu là gì?,D,Tiêu chuẩn quản lý an toàn phòng cháy chữa cháy tại công trường
"Theo quy định, cần bao nhiêu phép đo chiều dày tối thiểu trên dầm chịu tải?",C,88 phép đo
Bộ mã chuẩn nào đã được chọn cho tiếng Việt trong CNTT?,D,UTF-16
"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",C,Tổng hợp tiếng nói (speech synthesis)
"Theo tài liệu Public_021, khi đo chiều dày màng khô của vật liệu bảo vệ, nguyên tắc nào được áp dụng và liệu có yêu cầu về đường kính vỏ bọc tối thiểu ưu tiên của đầu đo nhiệt liên quan đến quy trình này không?",D,"Nguyên tắc thủy lực; đường kính vỏ bọc tối thiểu 2,0 mm"
Nội dung chính của tài liệu là gì?,B,"Trình bày khái niệm, tình hình nghiên cứu, thách thức và hướng phát triển của xử lý tiếng Việt trong CNTT"
"Theo đánh giá, hiện có bao nhiêu phần trăm dữ liệu không cấu trúc trong tổng lượng dữ liệu của loài người?",B,0.7
Tiêu chuẩn TCVN xxxx:202x được xây dựng dựa trên tiêu chuẩn quốc tế nào?,D,IEC 584-1
Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,C,"Chiều dày khô của lớp phủ hoặc tổng các lớp trong hệ bảo vệ (không tính sơn lót, sơn phủ, hệ đỡ)"
"Theo tài liệu Public_022, các thử nghiệm chịu lửa được áp dụng cho những loại tiết diện thép nào và không áp dụng cho loại nào?",C,"Áp dụng cho tiết diện chữ I, H, C, T, rỗng; không áp dụng cho thanh/que đặc hoặc tiết diện rỗng nhồi bê tông"
Nội dung chính của tiêu chuẩn TCVN xxxx:202x là gì?,B,Quy định phương pháp thử nghiệm để đánh giá hiệu quả của hệ bọc bảo vệ chịu lửa cho cấu kiện thép trong công trình
"Theo quy định, mẫu thử nghiệm dầm chịu tải phải chịu tải trọng bằng bao nhiêu phần trăm sức kháng mô men thiết kế?",B,0.5
Chiều dày vật liệu bọc bảo vệ dạng bản hoặc tấm được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,B,0.15
"Đối với lớp phủ dạng phản ứng, độ dày trung bình được xác định như thế nào?",A,Đo tổng chiều dày lớp sơn phủ
Hệ điều hành có những nhiệm vụ chính nào và phiên bản Windows nào cho phép đặt tên tệp dài tới 255 ký tự?,A,"Quản lý tài nguyên, điều khiển thiết bị, quản lý chương trình, giao tiếp với người dùng; Windows 95"
Nội dung chính của tài liệu Public_023 là gì?,B,"Hướng dẫn quy trình xác định chiều dày, khối lượng riêng, lựa chọn và lắp đặt mẫu thử nghiệm đối với hệ bảo vệ chịu lửa"
Khối lượng riêng của vật liệu bảo vệ dạng thụ động được phép sai lệch tối đa bao nhiêu % so với giá trị trung bình?,C,0.15
"Theo tài liệu Public_024, thực phẩm được định nghĩa là gì?",B,"Hỗn hợp các chất hóa học có nguồn gốc từ thực vật và động vật, được con người sử dụng qua đường tiêu hóa nhằm mục đích dinh dưỡng"
Thực phẩm giàu protein thường có trong nhóm nguyên liệu nào?,C,"Nguyên liệu động vật (thịt, thủy sản) và một số loại đậu, nấm"
Thực phẩm là gì? Thực phẩm chức năng dùng chủ yếu để làm gì?,A,"Chỉ là đồ uống, chỉ giải khát"
Nội dung chính của phần “Khái quát về thực phẩm và công nghệ thực phẩm” là gì?,A,"Trình bày khái niệm, phân loại, mục đích sử dụng, các chỉ tiêu chất lượng của thực phẩm và mối quan tâm của người tiêu dùng"
"Nếu một người tiêu dùng mua 100g bánh mì (giàu glucid ~50%) và 100g cá (giàu protein ~20%), thì lượng glucid và protein người đó nạp vào lần lượt là bao nhiêu gam?",D,70g glucid và 25g protein
Định nghĩa của chiếu xạ thực phẩm trong tài liệu Public_025 là gì?,B,Quá trình sử dụng tia bức xạ điện từ hoặc dòng electron tác động lên thực phẩm để gây biến đổi có lợi
Tia bức xạ nào hiện nay được sử dụng phổ biến trong công nghiệp thực phẩm?,D,Tia tử ngoại
Chiếu xạ thực phẩm về mặt cơ sở khoa học là gì? Và mục đích công nghệ chủ yếu hiện nay của chiếu xạ thực phẩm là gì?,B,"Là quá trình dùng hóa chất khử trùng thực phẩm, chủ yếu để tạo màu sắc"
Nội dung chính của phần “Chiếu xạ trong công nghiệp thực phẩm” là gì?,A,"Trình bày cơ sở khoa học, mục đích công nghệ, biến đổi vật lý – hóa học – sinh học của nguyên liệu, và ứng dụng chiếu xạ trong bảo quản, chế biến thực phẩm"
"Nếu một loại trái cây được xử lý bằng liều chiếu xạ 2 kGy, trong khi mức 1 kGy không làm mất vitamin C còn mức 2–4 kGy làm giảm mạnh vitamin C, thì loại trái cây đó có nguy cơ bị giảm giá trị dinh dưỡng như thế nào?",D,Mất toàn bộ khoáng chất và protein
Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,B,2 nhóm: xơ tự nhiên và xơ hóa học
"Theo tài liệu Public_026, thành phần chính của xơ len là gì?",C,Keratin (chiếm khoảng 90%)
Vật liệu dệt là gì? Và chúng được phân loại chủ yếu dựa theo tiêu chí nào?,C,Là ngành công nghiệp bao bì; phân loại theo kích thước và độ bền
Nội dung chính của chương 1 trong tài liệu `Public_026` là gì?,B,"Trình bày khái niệm, phân loại và tính chất cơ bản của xơ, sợi và sản phẩm dệt"
Nếu một sợi có chiều dài 1000 m và khối lượng 20 g thì chỉ số Tex của sợi đó bằng bao nhiêu?,D,25 Tex
Thành phần chính của xơ bông là gì?,B,Xenlulozơ (trên 90%)
Nhiệt độ chuyển mềm của len thường nằm trong khoảng nào?,B,80–90°C
Xenlulô là gì và vải sợi gốc xenlulô có ưu điểm gì?,C,"Xenlulô là este hóa học nhân tạo, vải sợi xenlulô không thấm nước"
Nội dung chính của tài liệu Public_027 là gì?,B,"Trình bày chi tiết thành phần hóa học, tính chất cơ lý, hóa học và ứng dụng của các loại xơ tự nhiên (bông, len, tơ tằm, amiăng)"
"Nếu sợi bông có độ ẩm hoàn toàn khô là 8 g, khi hút ẩm đạt khối lượng 8,8 g thì độ ẩm tương đối của sợi là bao nhiêu?",B,0.08
Ai là những nhà khoa học được ghi nhận phát minh ra transistor lưỡng cực vào năm 1947?,D,"James Clerk Maxwell, Michael Faraday, Enrico Fermi"
Transistor NPN có các cực được sắp xếp như thế nào?,C,"Emitter–P, Base–P, Collector–N"
Transistor được tạo thành từ mấy lớp bán dẫn và ba người nào được ghi nhận là những nhà phát minh ra nó?,A,"Transistor được tạo từ ba lớp bán dẫn và do John Bardeen, William Shockley và Walter Brattain phát minh"
Nội dung chính của tài liệu Public_028 là gì?,B,"Trình bày cấu tạo, ký hiệu, nguyên lý hoạt động của transistor lưỡng cực (BJT) và ứng dụng của nó"
"Nếu bộ phát (Emitter) bị pha tạp nặng, Base pha tạp nhẹ và Collector pha tạp vừa phải, thì vùng nghèo kiệt sẽ mở rộng nhiều hơn về phía nào?",D,Không thay đổi
Vật liệu nào phổ biến nhất được sử dụng làm chất bán dẫn cơ bản?,D,Antimon (Sb)
Quá trình thêm tạp chất vào chất bán dẫn để cải thiện tính dẫn điện gọi là gì?,C,Khuếch tán
Chất bán dẫn tinh khiết là gì và hiện tượng pha tạp (doping) có tác dụng gì?,C,Là vật liệu chỉ có lỗ trống; doping làm giảm điện trở về 0
Nội dung chính của tài liệu là gì?,B,"Giới thiệu khái niệm chất bán dẫn, phân loại (P-type, N-type), cơ chế dẫn điện, hiện tượng dòng điện và mối nối P–N"
"Nếu một tinh thể silicon có tỷ lệ doping là 1 nguyên tử tạp chất trên 10 triệu nguyên tử Si, thì khi thêm 100 nguyên tử tạp chất, số nguyên tử Si xấp xỉ bao nhiêu?",C,1 tỉ (10⁹)
Đơn vị đo điện dung của tụ điện là gì?,A,Farad (F)
Hằng số điện môi ε₀ trong chân không có giá trị bao nhiêu?,C,"6,67 × 10⁻¹¹ Nm²/kg²"
Tụ điện là gì và điện dung của tụ được tính theo công thức nào?,B,Tụ điện là linh kiện tích trữ năng lượng cơ học; điện dung C = I/V
Nội dung chính của tài liệu Public_030 là gì?,B,"Trình bày khái niệm, cấu tạo, nguyên lý hoạt động, tham số chính, công thức tính và ứng dụng của tụ điện"
"Một tụ điện phẳng có A = 10 m², d = 5 m, điện môi là không khí (εr = 1). Hãy tính điện dung C.",C,"8,85 × 10⁻¹¹ F"
Đơn vị đo điện trở là gì?,C,Ampere (A)
Ký hiệu điện trở theo tiêu chuẩn IEC có dạng nào?,A,Đường ngoằn ngoèo (zigzag)
Điện trở là gì và tại sao được gọi là linh kiện thụ động?,B,"Là linh kiện điện tử thụ động, gây ra trở kháng làm cản trở dòng điện mà không tạo ra năng lượng"
Nội dung chính của tài liệu Public_031 là gì?,B,"Trình bày khái niệm, đơn vị, ký hiệu, cấu tạo, ý nghĩa, công thức tính và cách mắc nối tiếp của điện trở trong mạch điện"
"Một mạch nối tiếp gồm R1 = 2Ω, R2 = 4Ω, R3 = 6Ω, dòng điện I = 4A. Hãy tính điện áp toàn mạch.",A,24V
Nguồn điện nào thường tạo ra điện áp một chiều (DC)?,D,Ổn áp xoay chiều
Định luật Ohm được phát biểu như thế nào?,C,Điện áp tỉ lệ thuận với dòng điện và điện trở
Dòng điện một chiều (DC) là gì và định luật Ohm liên quan như thế nào?,A,"Là dòng điện thay đổi liên tục theo hai hướng, tỉ lệ thuận với điện áp"
Nội dung chính của tài liệu là gì?,B,"Giới thiệu khái niệm, định luật Ohm, dòng điện một chiều, dòng điện xoay chiều, dạng sóng và ứng dụng của dòng điện"
