Question,Predicted Answer,Predicted Option
"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).",C,"Triển khai chủ yếu dựa vào 4G nâng cấp, không cần MEC; network slicing dùng cho tăng băng thông chung, không tách dịch vụ."
Phương pháp nào giúp giảm chi phí đầu tư và cho phép nhiều nhà cung cấp thiết bị tham gia triển khai hạ tầng 5G?,A,Triển khai thuần Cloud
"Trong quản lý chất lượng dịch vụ 5G, nhóm dịch vụ nào phù hợp nhất cho truyền video 8K và VR?",B,eMBB
Giao thức nào thường được dùng cho thiết bị IoT tiết kiệm băng thông và nhẹ?,C,FTP
"Theo tài liệu Public_071, phương pháp nào cho phép cập nhật firmware hàng loạt mà không cần tiếp cận vật lý thiết bị?",C,OTA (Over-the-Air)
"Trình bày kiến trúc đa lớp và quy trình quản lý mạng IoT quy mô hàng triệu thiết bị, đồng thời giải thích cách bảo mật đa tầng (từ thiết bị đến truyền thông) và cơ chế giám sát–phản ứng sự cố.",D,"Kiến trúc 2 lớp (thiết bị–cloud) đủ; bảo mật chỉ cần TLS cơ bản, không cần phân tích dữ liệu lớn."
"Để bảo vệ dữ liệu trong quá trình truyền, lớp bảo mật nào nên được áp dụng cho kết nối TCP/UDP?",B,TLS/DTLS
Việc phân nhóm thiết bị IoT theo vị trí địa lý và mức độ quan trọng giúp đạt mục tiêu chính nào?,A,"Ưu tiên cập nhật, vá lỗi hoặc triển khai dịch vụ theo nhu cầu cụ thể"
"Theo tài liệu Public_072, DRL là sự kết hợp của những lĩnh vực nào?",C,Mô hình hóa thống kê và RL
Thành phần nào đóng vai trò đưa ra hành động trong DRL?,B,Reward
"Mô tả quy trình xây dựng hệ thống DRL cho robot công nghiệp từ kiến trúc thành phần đến thuật toán, đồng thời nêu các ứng dụng tiêu biểu và thách thức triển khai thực tế.",C,"Chỉ cần Policy Gradient, bỏ qua các bước mô phỏng; không cần transfer learning; ứng dụng chủ yếu là điều khiển drone."
Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,D,Loại bỏ hoàn toàn nhu cầu dữ liệu
"Giả sử một robot đã học thành công trong môi trường mô phỏng nhưng thất bại khi hoạt động thực tế, nguyên nhân hợp lý nhất là gì?",B,Do mô hình thiếu khả năng tổng quát và chênh lệch môi trường
"Theo tài liệu Public_073, ưu điểm nổi bật nhất của Federated Learning trong y tế là gì?",D,Giảm độ phức tạp của mô hình
Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,C,Federated Averaging (FedAvg)
"Hãy phân tích nguyên lý hoạt động của Federated Learning và các kỹ thuật bảo mật nâng cao, đồng thời nêu lợi ích và thách thức khi áp dụng trong môi trường y tế đa cơ sở.",D,Hoạt động: các bên trao đổi dữ liệu đầy đủ; bảo mật dựa trên VPN; không gặp vấn đề dữ liệu không đồng nhất.
Thách thức lớn nhất khi các bệnh viện có đặc điểm dữ liệu khác nhau là gì?,D,Dữ liệu không đồng nhất (Non-IID)
"Giả sử một bệnh viện có hạ tầng yếu, vấn đề chính khi tham gia FL là gì?",C,Chi phí tính toán cục bộ và thiếu tài nguyên
Đơn vị thông tin cơ bản trong điện toán lượng tử là gì?,D,Gate
Thuật toán nào thường dùng để tối ưu hóa tổ hợp trong mạng 6G?,A,Backpropagation
"Trình bày cách điện toán lượng tử hỗ trợ giải các bài toán tối ưu trong mạng 6G, mô tả các thuật toán lượng tử tiêu biểu và kiến trúc triển khai thực tế.",A,"Ứng dụng Quantum Computing cho phân bổ phổ tần, định tuyến, quản lý năng lượng, lập lịch; thuật toán QAOA, VQE, Grover, Quantum Annealing; kiến trúc hybrid quantum-classical, cloud-quantum, edge computing; lợi ích: tốc độ tính toán, tiết kiệm năng lượng, mở rộng thiết bị IoT; thách thức: phần cứng qubit hạn chế, chuẩn giao thức mới."
Hình thức triển khai nào cho phép trạm gốc 6G sử dụng tài nguyên lượng tử từ xa?,A,Cloud-Quantum
"Theo tài liệu Public_074, giải pháp khả thi nhất cho mạng lượng tử khi chưa đủ qubit là gì?",A,Bỏ triển khai 6G
Pin nào sử dụng chất điện phân rắn thay cho lỏng?,B,Pin Thể Rắn (Solid-State)
Ưu điểm nổi bật của pin Sodium-Ion là gì?,C,"Nguyên liệu rẻ, dồi dào, hoạt động tốt ở nhiệt độ thấp"
"Hãy trình bày các công nghệ pin thế hệ mới cho lưới điện thông minh, nêu ưu nhược điểm từng loại và vai trò của AI trong khám phá vật liệu và điều độ năng lượng.",B,Chỉ có pin lithium-ion cải tiến; AI chỉ để điều khiển sạc/xả; không cần công nghệ mới.
Thách thức lớn của pin Li-S là gì?,A,Sự hình thành polysulfide gây suy giảm dung lượng
Lợi ích chính của việc tích hợp pin vào lưới điện thông minh là gì?,B,Ổn định điện áp và hỗ trợ năng lượng tái tạo
Phương pháp truyền thống nào đã trở nên kém hiệu quả trước tấn công mạng hiện đại?,A,Dựa trên chữ ký (Signature-based)
Mô hình AI nào được thảo luận trong tài liệu Public_076 phù hợp phát hiện tấn công chuỗi thời gian như DDoS?,C,RNN/LSTM
"Trình bày kiến trúc tổng thể và các kỹ thuật AI chủ chốt trong hệ thống phát hiện – ứng phó sự cố an ninh mạng, đồng thời giải thích vai trò của học sâu và khả năng phản ứng tự động.",A,"Kiến trúc: tầng thu thập (syslog, gói tin), phân tích ML (supervised, unsupervised, semi/self, RL), phát hiện thời gian thực (IDS/IPS), phản ứng SOAR; AI: DNN, RNN/LSTM/GRU, GNN, GAN; phản ứng: tự cách ly thiết bị, cập nhật tường lửa, giảm MTTD xuống vài giây."
Thách thức nào đặc thù khi huấn luyện AI cho an ninh mạng?,D,Thiếu dữ liệu gắn nhãn và tấn công đối kháng
"Theo tài liệu Public_076, giải pháp nào cho phép nhiều tổ chức cùng huấn luyện mô hình mà không chia sẻ dữ liệu thô?",A,Federated Learning
Ưu điểm cốt lõi của blockchain trong chuỗi cung ứng là gì?,A,Tăng dung lượng lưu trữ
"Trong công nghệ blockchain, thành phần nào đảm bảo các khối không thể chỉnh sửa?",C,Hàm băm (Hash)
"Mô tả nguyên lý hoạt động của blockchain và cách nó giải quyết minh bạch, chống giả mạo trong chuỗi cung ứng, đồng thời nêu thách thức triển khai.",A,"Nguyên lý: block–hash–consensus (PoS, PBFT, PoA), smart contract tự động thanh toán; ứng dụng: truy xuất nguồn gốc, chống giả, tối ưu vận chuyển, kiểm toán; thách thức: mở rộng, bảo mật dữ liệu nhạy cảm, chuẩn hóa, tích hợp hệ thống hiện hữu."
Giải pháp nào giúp bảo vệ dữ liệu nhạy cảm trên blockchain?,D,Mã hóa và quyền truy cập theo vai trò
"Theo tài liệu Public_077, công nghệ nào kết hợp với blockchain để tự động ghi dữ liệu môi trường?",A,AI
Điện toán biên giải quyết vấn đề độ trễ trong nhà máy thông minh như thế nào?,B,Giảm giá thành thiết bị
Ưu điểm nổi bật nhất của Edge Computing so với Cloud Computing truyền thống là gì?,B,"Xử lý dữ liệu gần nguồn phát sinh, giảm độ trễ"
"Giải thích nguyên lý hoạt động, kiến trúc và lợi ích của Edge Computing trong các ứng dụng thời gian thực công nghiệp, kèm các ví dụ tiêu biểu.",A,"Nguyên lý: xử lý dữ liệu tại biên (sensor→edge→cloud), giảm độ trễ, tiết kiệm băng thông, tăng bảo mật; kiến trúc 3 tầng thiết bị–biên–đám mây; ứng dụng: robot hợp tác, bảo trì dự đoán, kiểm soát chất lượng, AR bảo dưỡng, quản lý năng lượng."
"Nếu kết nối Internet bị gián đoạn, hệ thống Edge sẽ phản ứng thế nào?",A,Vẫn tiếp tục hoạt động và xử lý cục bộ
Lợi ích bảo mật lớn nhất của Edge Computing trong môi trường sản xuất là gì?,C,"Giữ dữ liệu nhạy cảm tại chỗ, hạn chế rò rỉ"
Điểm mạnh lớn nhất của CNN trong phân tích ảnh y tế là gì?,A,Dựa vào đặc trưng thủ công
Mạng nào chuyên biệt cho bài toán phân đoạn ảnh y tế?,B,DenseNet
"Phân tích nguyên lý, cấu trúc mạng CNN và lợi ích khi áp dụng trong phân tích ảnh y tế, nêu các ứng dụng điển hình.",A,"Nguyên lý: convolution, pooling, fully connected, shared weights, local receptive field; lợi ích: trích xuất đặc trưng tự động, bất biến vị trí, tổng quát cao; ứng dụng: chẩn đoán X-quang, MRI/CT, phân đoạn polyp, nhận diện tế bào, hỗ trợ phẫu thuật thông minh."
Thách thức lớn khi triển khai mạng nơ-ron tích chập (CNN) trong bệnh viện là gì?,B,Tốc độ xử lý chậm hơn con người
Một xu hướng mới giúp mạng nơ-ron tích chập đảm bảo quyền riêng tư dữ liệu y tế là gì?,B,Federated Learning
Lợi ích lớn nhất của Generative AI trong thiết kế thuốc là gì?,D,Loại bỏ nhu cầu dữ liệu
"Theo tài liệu Public_080, mô hình nào thường dùng để sinh phân tử mới?",B,RNN
"Trình bày vai trò của Generative AI và các mô hình điển hình trong thiết kế thuốc, đồng thời nêu ứng dụng thực tế.",A,"Mô hình: GAN, VAE, Diffusion, transformer LLM; cơ chế: tạo phân tử mới, reinforcement learning tối ưu đặc tính dược; ứng dụng: tìm hợp chất kháng virus, kháng sinh Halicin, dự đoán tương tác phân tử; lợi ích: rút ngắn thời gian, giảm chi phí."
Thách thức quan trọng nhất khi đưa phân tử do AI tạo ra vào thực nghiệm là gì?,B,Tính bảo mật kém
Xu hướng nào giúp nhiều tổ chức cùng huấn luyện mô hình AI mà vẫn giữ bí mật dữ liệu hóa học?,B,Federated Learning
Đặc điểm nào khiến GNN phù hợp cho dữ liệu vật liệu?,D,Chỉ cần một lớp mạng
"Từ tài liệu Public_081, những ứng dụng nào là điểm mạnh của GNN trong khoa học vật liệu?",C,Dự đoán tính chất điện và cơ học của hợp chất mới
"Giải thích cách GNN biểu diễn vật liệu, cơ chế message passing và các ứng dụng trong dự đoán tính chất vật liệu mới.",A,"Biểu diễn: node=nguyên tử, edge=liên kết; message passing nhiều tầng, graph readout tạo vector; mô hình: GCN, GAT, MPNN, SchNet; ứng dụng: pin thế hệ mới, vật liệu siêu dẫn, hợp kim nhẹ, polyme chức năng; lợi ích: khám phá nhanh, tiết kiệm chi phí, tổng quát cao."
Thách thức chính khi dùng GNN trong khám phá vật liệu là gì?,D,Dữ liệu dư thừa
Hướng phát triển tương lai đầy tiềm năng của GNN trong vật liệu là gì?,C,Chỉ dùng dữ liệu văn bản
Tại sao HPC cần thiết cho mô phỏng khí hậu toàn cầu?,D,Đơn giản hóa bản đồ địa hình
Thành phần phần cứng cốt lõi nào giúp hệ thống HPC tối ưu hóa xử lý song song?,C,Cụm CPU/GPU kết nối tốc độ cao (InfiniBand)
"Trình bày kiến trúc HPC và vai trò trong mô phỏng khí hậu, dự báo thời tiết cực đoan, nêu công nghệ hỗ trợ.",A,"Kiến trúc: hàng chục nghìn CPU/GPU, InfiniBand, domain decomposition, Navier–Stokes; ứng dụng: dự báo khí hậu 100 năm, cảnh báo bão/lũ, theo dõi cháy rừng; công nghệ: GPU, ML+HPC, cloud-hybrid, lưu trữ petabyte; lợi ích: tăng độ chính xác, giảm thời gian tính toán."
Thách thức lớn nhất về vận hành siêu máy tính khí hậu là gì?,D,Không thể ghép nối dữ liệu
Xu hướng tương lai giúp tăng tốc mô phỏng khí hậu là gì?,B,Exascale Computing kết hợp AI
Đặc điểm nào nổi bật nhất của 6G so với 5G?,B,"Tốc độ terabit/giây và độ trễ dưới 0,1 ms"
Dải tần nào sẽ được khai thác chủ yếu trong 6G?,C,"Terahertz (0,1–10 THz)"
"Giải thích đặc trưng cốt lõi của 6G và vai trò AI trong tối ưu và bảo mật mạng, nêu các ứng dụng tiêu biểu.",A,"Đặc trưng: 1 Tbps, độ trễ <0.1 ms, phổ THz, vệ tinh–mặt đất, SDN/NFV; AI: tối ưu phổ tần động, mạng tự trị, dự báo lưu lượng, bảo mật thông minh; ứng dụng: metaverse XR, xe tự hành, y tế từ xa, cảm biến môi trường."
Ứng dụng nào cần 6G để đạt độ trễ siêu thấp?,A,Phẫu thuật robot thời gian thực
Thách thức chính khi triển khai 6G là gì?,C,Giảm băng thông
Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,D,IMU
Kỹ thuật nào giúp hợp nhất dữ liệu từ nhiều cảm biến khác nhau nhằm nâng cao độ chính xác và độ tin cậy của thông tin?,C,Sensor Fusion
"Mô tả các thành phần cảm biến, thuật toán và thách thức của hệ thống thị giác máy tính thế hệ tiếp theo cho xe tự hành.",A,"Thành phần: camera RGB/IR, LiDAR, radar mmWave, sensor fusion; thuật toán: CNN, RNN, object detection, semantic segmentation, tracking; thách thức: môi trường đa dạng, thời tiết khắc nghiệt, ánh sáng yếu; ứng dụng: điều khiển cao tốc, đỗ xe tự động, phẫu thuật robot từ xa."
Thách thức quan trọng nhất đối với xử lý thời gian thực trong xe tự hành là gì?,C,Mạng 5G không đủ
"Theo tài liệu Public_084, xu hướng tương lai nào cho phép xe giao tiếp trực tiếp với hạ tầng giao thông?",B,Vehicle-to-Everything (V2X)
Kỹ thuật nào cho phép robot học từ phản hồi môi trường để tối ưu hành động?,B,Học tăng cường (Reinforcement Learning)
Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,D,Cảm biến xúc giác và lực
"Nêu chi tiết cách các cơ chế học của robot công nghiệp tự học được áp dụng để cải thiện thuật toán lập kế hoạch đường đi trong môi trường nhà máy thông minh, kèm theo các ví dụ thực tiễn.",A,"Thuật toán: A*, D*, PRM, ZMP, PID; học tăng cường, học chuyển giao, thị giác 3D, cảm biến lực, Edge AI; ứng dụng: lắp ráp linh kiện, hàn sơn, đóng gói, bảo trì, cobots; lợi ích: linh hoạt, an toàn, tối ưu sản xuất."
Thách thức quan trọng khi triển khai robot tự học là gì?,C,Đảm bảo an toàn tuyệt đối khi hoạt động cùng con người
Phương pháp nào giảm chi phí huấn luyện robot trong thế giới thực?,D,Điều khiển PID
"Theo tài liệu Public_086, lợi ích lớn nhất của AI trong quản lý năng lượng tái tạo là gì?",B,Dự báo và tối ưu phân phối năng lượng theo thời gian thực
Công nghệ nào cho phép xử lý dữ liệu nhanh ngay tại nguồn phát sinh?,D,AR/VR
"Phân tích vai trò của AI trong dự báo, tối ưu và điều phối năng lượng tái tạo cho thành phố thông minh, đồng thời nêu rõ hạ tầng công nghệ hỗ trợ.",A,"AI dự báo sản lượng điện (Deep Learning dựa thời tiết), tối ưu phân phối và lưu trữ pin, điều khiển microgrid tự động; hạ tầng: mạng IoT, edge computing, cloud, giao thức mở"
Thách thức chính trong việc triển khai AI quản lý năng lượng tái tạo là gì?,D,Không cần lưu trữ
Xu hướng nào cho phép giao dịch điện năng trực tiếp giữa các hộ dân?,B,Blockchain kết hợp AI
Yếu tố chính khiến AI quan trọng trong giám sát chất lượng không khí đô thị?,B,Dự báo và phân tích dữ liệu môi trường khổng lồ theo thời gian thực
Công nghệ nào kết hợp dữ liệu cảm biến và vệ tinh để dự đoán ô nhiễm?,D,Học sâu (Deep Learning) với dữ liệu đa nguồn
Mô tả kiến trúc cảm biến và vai trò của trí tuệ nhân tạo (AI) trong dự báo và phát hiện bất thường về chất lượng không khí đô thị.,A,"Mạng cảm biến IoT + dữ liệu vệ tinh, AI (LSTM/Transformer) dự báo PM2.5/O₃, phát hiện cháy rừng, rò rỉ hóa chất, tối ưu giao thông & năng lượng, đề xuất chính sách giảm ô nhiễm"
"Theo tài liệu Public_087, thách thức lớn khi triển khai hệ thống AI giám sát không khí là gì?",A,Độ chính xác và bảo mật dữ liệu cảm biến
Những công nghệ hoặc phương pháp luận tương lai nào hỗ trợ việc thử nghiệm chính sách môi trường trong mô hình ảo?,D,Máy in 3D
Lợi thế lưu trữ của DNA so với ổ cứng truyền thống là gì?,B,"Mật độ lưu trữ cực cao, lên đến hàng trăm petabyte/gram"
Quá trình nào trong DNA đóng vai trò như cổng logic trong tính toán sinh học?,C,Phản ứng lai ghép và enzyme cắt
"Giải thích nguyên lý tính toán dựa trên DNA và các ứng dụng nổi bật trong y sinh học, đồng thời nêu ưu thế so với máy tính silicon.",A,"Dữ liệu mã hóa bằng A/T/C/G, phản ứng hóa học như cổng logic, tính toán song song, tự sửa lỗi; ứng dụng chẩn đoán bệnh, điều trị chính xác, lưu trữ dữ liệu y tế; ưu thế: mật độ lưu trữ khổng lồ, tiêu thụ năng lượng thấp, tự phục hồi"
Thách thức lớn nhất của biocomputing hiện nay là gì?,D,Không thể lưu trữ dữ liệu số
Xu hướng nào cho phép kết hợp ưu điểm của điện tử và DNA?,D,Lưới điện thông minh
Hiện tượng nào đặc trưng của vật liệu siêu dẫn?,C,Tự phát sáng
Hợp chất nào đã cho thấy siêu dẫn gần nhiệt độ phòng khi nén áp suất cao?,B,Đồng-oxit
Tài liệu Public_089 trình bày những tiến bộ nào trong việc đạt siêu dẫn nhiệt độ phòng?,D,"Không liên quan truyền tải điện, chỉ cho từ trường nghiên cứu"
Thách thức lớn nhất để thương mại hóa siêu dẫn nhiệt độ phòng?,C,Dễ sản xuất hàng loạt
Công nghệ nào hỗ trợ khám phá vật liệu siêu dẫn mới nhanh hơn?,B,Trí tuệ nhân tạo và tính toán lượng tử
Điểm khác biệt cốt lõi của máy tính neuromorphic so với kiến trúc Von Neumann là gì?,B,"Xử lý và lưu trữ dữ liệu ngay tại neuron, mô phỏng não người"
"Trong các mạng thần kinh nhân tạo, thành phần nào đóng vai trò tương tự synapse sinh học?",B,Tụ điện
"Mô tả kiến trúc và nguyên lý của máy tính neuromorphic lấy cảm hứng từ não người, so sánh với kiến trúc Von Neumann và nêu ứng dụng AI.",D,Tiêu thụ năng lượng cao như siêu máy tính
Ứng dụng nào nổi bật của chip neuromorphic trong y tế?,A,Giao diện não–máy (BCI) và cấy ghép thần kinh
Thách thức lớn nhất trong thương mại hóa chip neuromorphic hiện nay là gì?,D,Thiếu dữ liệu huấn luyện
Điểm khác biệt lớn nhất của pin thể rắn so với pin lithium-ion truyền thống là gì?,C,Không dùng cực dương
Ưu điểm quan trọng nhất giúp pin thể rắn an toàn hơn?,C,Không chứa dung dịch dễ cháy
"Dựa trên tài liệu Public_091, hãy phân tích cấu trúc, nguyên lý, ưu điểm của pin thể rắn so với lithium-ion, nêu ứng dụng thực tế và thách thức.",A,"Cực dương oxit Li, cực âm lithium kim loại, điện phân rắn; ưu điểm: 400–500 Wh/kg, an toàn, sạc nhanh, tuổi thọ dài; ứng dụng EV, lưu trữ năng lượng, hàng không; thách thức: chi phí, giao diện điện cực, dendrite"
Thách thức chính cản trở thương mại hóa pin thể rắn là gì?,D,Chi phí sản xuất và khó khăn giao diện điện cực – điện phân
"Theo tài liệu Public_091, những xu hướng nghiên cứu nào giúp tăng tính ổn định của pin thể rắn?",A,Chất điện phân lai gốm–polymer
Điểm đặc trưng của siêu vật liệu so với vật liệu tự nhiên là gì?,B,Cấu trúc nhân tạo điều khiển sóng ngoài khả năng tự nhiên
Công nghệ nào trong mạng 6G tận dụng siêu vật liệu để tăng vùng phủ sóng?,C,Bề mặt phản xạ thông minh (RIS)
"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.",A,"Unit cell nhỏ hơn bước sóng, khúc xạ âm, metasurface tái cấu hình, tăng tốc terabit/giây, RIS tăng phủ sóng, bảo mật tín hiệu"
Thách thức lớn nhất hiện nay khi thương mại hóa siêu vật liệu?,A,Tốc độ sóng chậm
"Theo tài liệu Public_092, xu hướng nào hứa hẹn tối ưu hoạt động RIS trong 6G?",A,AI điều khiển metasurface theo thời gian thực
Điểm khác biệt chính của máy tính quang học so với điện tử?,A,Sử dụng electron truyền tải
Thành phần nào cho phép thực hiện phép nhân–cộng ma trận bằng ánh sáng?,D,Giao thoa kế Mach–Zehnder và mạch quang tích hợp
"Trình bày nguyên lý tính toán bằng photon, lợi ích và ứng dụng trong AI thế hệ mới.",A,"Truyền và xử lý thông tin bằng photon qua mạch quang, tính toán song song đa bước sóng, tốc độ gần ánh sáng, giảm năng lượng; ứng dụng: huấn luyện mô hình lớn, edge AI, mạng lượng tử"
Thách thức quan trọng nhất trong sản xuất chip quang?,C,Không thể hoạt động trên silicon
Ứng dụng nào hưởng lợi trực tiếp từ suy luận thời gian thực của photonic computing?,C,Máy in 3D
Công cụ chính để mô phỏng sự hình thành vũ trụ được thảo luận trong tài liệu Public_094 là gì?,D,Tàu vũ trụ
"Theo tài liệu Public_094, mô phỏng N-body chủ yếu tái hiện điều gì?",B,Địa chất Mặt Trăng
"Mô tả mục tiêu, công nghệ mô phỏng và ứng dụng của vũ trụ học tính toán trong nghiên cứu vũ trụ.",A,"Dùng phương trình Einstein, mô phỏng N-body, thủy động lực học, AI tăng tốc, mô phỏng hàng tỷ hạt; ứng dụng: giải mã vật chất tối, dự báo quan sát, ước lượng tham số vũ trụ học"
Thách thức lớn nhất hiện nay của vũ trụ học tính toán là gì?,D,Không có thuật toán
Công nghệ tương lai nào hứa hẹn tăng độ phân giải mô phỏng vũ trụ?,C,Blockchain
Thách thức lớn nhất của Sao Hỏa khiến nước khó tồn tại ở dạng lỏng?,D,Lõi hành tinh nóng
Biện pháp nào có thể tạo từ trường nhân tạo cho Sao Hỏa?,A,Dùng khinh khí cầu
"Phân tích các phương pháp cải tạo khí hậu Sao Hỏa, công nghệ hỗ trợ và thách thức đạo đức – kỹ thuật.",A,"Tăng áp suất CO₂, gương không gian, khí nhà kính nhân tạo, từ trường nhân tạo, vi khuẩn lam; công nghệ: robot, AI, in 3D, lò phản ứng hạt nhân; thách thức: chi phí, bức xạ, chính trị quốc tế"
"Theo tài liệu Public_095, công nghệ nào giúp xây dựng cơ sở hạ tầng tự động trên Sao Hỏa?",D,Tàu ngầm
Public_095 thảo luận về những vấn đề đạo đức nào liên quan đến việc terraform Sao Hỏa?,A,Khả năng phá hủy sự sống bản địa (nếu tồn tại)
Điều kiện cần thiết để quá trình nhiệt hạch xảy ra là gì?,D,Phản ứng phân rã phóng xạ
Lò phản ứng Tokamak là gì?,C,Lò phản ứng nước áp lực
"Phân tích nguyên lý hoạt động, nhiên liệu, ưu điểm và các công nghệ lò phản ứng nhiệt hạch, đồng thời nêu các thách thức kỹ thuật – kinh tế trong thương mại hóa.",A,"Phản ứng Deuterium–Tritium >100 triệu °C, giam giữ từ trường (tokamak, stellarator) hoặc laser; nhiên liệu deuterium từ nước biển, tritium từ lithium; ưu điểm: sạch, không CO₂, ít phóng xạ, an toàn tự dừng; thách thức: giam giữ plasma, vật liệu chịu nhiệt, đạt breakeven kinh tế"
Dự án quốc tế nào đang xây dựng lò phản ứng 500 MW ở Pháp?,B,Wendelstein 7-X
"Theo tài liệu Public_096, thách thức kỹ thuật trọng yếu của nhiệt hạch là gì?",C,Nhiệt độ quá thấp
Sản phẩm phụ duy nhất của pin nhiên liệu hydro là gì?,A,CO₂
Ưu điểm lớn của hydro so với pin lithium-ion cho xe tải đường dài?,D,Mật độ năng lượng cao và nạp nhiên liệu nhanh
"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.",A,"H₂ + O₂ → điện + nước; ưu điểm: mật độ năng lượng cao, nạp nhanh, không CO₂; ứng dụng: xe hơi, xe tải, tàu biển, hàng không; thách thức: chi phí hydro xanh, hạ tầng trạm nạp, an toàn rò rỉ"
Thách thức lớn nhất để triển khai đại trà giao thông hydro?,D,Thiếu pin lithium
Hãng xe nào đã thương mại hóa xe hơi chạy pin nhiên liệu hydro?,A,Tesla
Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,D,Đốt cháy nhiên liệu
Ưu điểm nổi bật giúp siêu tụ phù hợp cho xe buýt điện đô thị?,D,Sạc/xả cực nhanh và tuổi thọ cao
"Trình bày cơ chế hoạt động, ưu điểm, và ứng dụng của siêu tụ điện trong giao thông bền vững, đồng thời so sánh với pin truyền thống.",A,"Lưu trữ năng lượng qua điện dung hai lớp và giả điện dung; sạc/xả cực nhanh, tuổi thọ >1 triệu chu kỳ, công suất cao, hoạt động -40→65 °C; ứng dụng: xe buýt điện, tàu điện, xe hybrid, máy bay nhỏ; kết hợp pin để giảm tải và tăng tuổi thọ"
Ứng dụng nào tận dụng siêu tụ để thu hồi năng lượng phanh?,A,Tàu điện và metro
Hạn chế chính của siêu tụ điện so với pin lithium-ion là gì?,B,Mật độ năng lượng thấp hơn
Ưu điểm lớn nhất của pin natri-ion so với pin lithium-ion là gì?,B,Nguồn nguyên liệu dồi dào và chi phí thấp
Thách thức kỹ thuật chính của pin natri-ion hiện nay?,D,Không thể tái chế
"Mô tả cấu trúc, cơ chế và lợi ích chiến lược của pin natri-ion, nêu ứng dụng thực tế và các thách thức hiện nay.",A,"Hoạt động tương tự pin lithium-ion nhưng dùng Na⁺; ưu điểm: nguyên liệu rẻ, dồi dào, ổn định nhiệt độ thấp, bền vững chuỗi cung ứng; ứng dụng: lưu trữ năng lượng tái tạo, xe điện đô thị, thiết bị IoT; thách thức: mật độ năng lượng thấp hơn, vật liệu điện cực, chuẩn hóa công nghiệp"
Công ty nào công bố pin natri-ion thương mại đầu tiên?,A,Tesla
Lợi ích xã hội quan trọng khi phát triển pin natri-ion?,C,Giảm tuổi thọ thiết bị
Điện toán không gian kết hợp những công nghệ nào để tạo trải nghiệm 3D thực?,A,Chỉ có cảm biến nhiệt
Ứng dụng nào minh họa rõ nhất lợi ích của điện toán không gian trong y tế?,B,Tạo ảnh 2D
"Giải thích khái niệm, thành phần cốt lõi và các ứng dụng tiêu biểu của điện toán không gian, đồng thời phân tích thách thức triển khai.",A,"Kết hợp VR, AR, IoT, AI nhận thức không gian; cảm biến 3D, LiDAR, Edge Computing, mạng 5G/6G; ứng dụng: y tế từ xa, giáo dục ảo, sản xuất, thương mại, giải trí; thách thức: chi phí thiết bị, băng thông, bảo mật dữ liệu cá nhân"
Cấu hình hạ tầng mạng nào cần thiết để đảm bảo độ trễ thấp và băng thông cao cho trải nghiệm thực tế ảo (VR) mượt mà?,A,"5G/6G băng thông cao, độ trễ thấp"
Những xu hướng công nghệ tương lai quan trọng nào trong lĩnh vực điện toán không gian dự kiến sẽ tác động đến các ngành công nghiệp chính trong 5 năm tới?,B,Giảm độ phân giải hình ảnh
